"TOA5","138k10-NL-T Reynolds North Toeslope","CR1000","36607","CR1000.Std.32.04","CPU:Reynolds_North_Toeslope.CR1","61168","Table2"
"TIMESTAMP","RECORD","BattV_Min","O2_Avg(1)","O2_Avg(2)","O2_Avg(3)","CO2_1_Avg","CO2_2_Avg","CO2_3_Avg","TDR310_1_VWC_Avg","TDR310_1_Temp_Avg","TDR310_1_Ka_Avg","TDR310_1_ECb_Avg","TDR310_1_ECw_Avg","TDR310_2_VWC_Avg","TDR310_2_Temp_Avg","TDR310_2_Ka_Avg","TDR310_2_ECb_Avg","TDR310_2_ECw_Avg","TDR310_3_VWC_Avg","TDR310_3_Temp_Avg","TDR310_3_Ka_Avg","TDR310_3_ECb_Avg","TDR310_3_ECw_Avg","O2_Std(1)","O2_Std(2)","O2_Std(3)","CO2_1_Std","CO2_2_Std","CO2_3_Std","TDR310_1_VWC_Std","TDR310_1_Temp_Std","TDR310_1_Ka_Std","TDR310_1_ECb_Std","TDR310_1_ECw_Std","TDR310_2_VWC_Std","TDR310_2_Temp_Std","TDR310_2_Ka_Std","TDR310_2_ECb_Std","TDR310_2_ECw_Std","TDR310_3_VWC_Std","TDR310_3_Temp_Std","TDR310_3_Ka_Std","TDR310_3_ECb_Std","TDR310_3_ECw_Std"
"2021-12-17 07:00:00",1361,12.65,38.22,40.27,39.24,1059.474,1559.871,2071.976,11.505,-0.3816667,6.5,56.95,1819,7.168333,2.2,4.67,37.45,1223.733,9.005,5.4,5.431666,65.46667,2395.433,0.001,0.001,0.001,2.002376,2.898034,2.895,0.02179458,0.03869395,0,0.6689544,22.15852,0.04997217,0,0.04582571,0.5894913,18.95157,0.08450862,0,0.04651757,1.17568,44.23474
"2021-12-17 08:00:00",1362,12.65,38.22,40.27,39.24,1060.19,1559.803,2072.194,11.51333,-0.375,6.5,57.08333,1820.95,7.171667,2.2,4.675,37.56667,1227.75,8.985,5.4,5.43,65.36667,2389.417,0.001,0.001,0.001,1.945865,2.406898,3.15,0.03399359,0.04330127,0,0.7592028,26.41428,0.05193474,0,0.04330123,0.8034647,26.4163,0.08529393,0,0.04582571,1.064059,39.48936
"2021-12-17 09:00:00",1363,12.65,38.22,40.27,39.24,1059.793,1560.711,2072.686,11.53667,-0.355,6.5,57,1811.733,7.17,2.2,4.67,37.55,1226.867,8.996667,5.4,5.431666,65.53333,2397.033,0,0,0,2.221795,2.121426,2.945,0.04818962,0.04974937,0,0.8563489,27.99397,0.04582571,0,0.04582571,0.5894913,19.43062,0.0815819,0,0.04651757,1.146977,43.74508
"2021-12-17 10:00:00",1364,12.67,38.22,40.27,39.49,1060.249,1560.652,2074.375,11.53167,-0.37,6.5,56.86666,1808.95,7.158333,2.2,4.668333,37.53333,1225.817,8.976666,5.4,5.42,65.63333,2397.883,0.03,0.001,0.137,1.996734,2.472468,2.989,0.0465178,0.04582576,0,0.8055364,31.8462,0.06656235,0,0.04651757,0.5906681,19.48888,0.07608504,0,0.03999996,1.23783,46.9049
"2021-12-17 11:00:00",1365,12.69,38.34,40.26,39.58,1061.055,1561.108,2076.433,11.54833,-0.3566667,6.5,56.96667,1807.4,7.164999,2.2,4.666666,37.5,1225.083,8.973332,5.4,5.423333,65.8,2402.9,0.125,0.003,0.003,1.695408,2.734119,3.47,0.0499724,0.04955356,0,0.6046119,21.25182,0.0510718,0,0.04714041,0.5,16.56632,0.08137735,0,0.04229522,1.275408,47.99885
"2021-12-17 12:00:00",1366,12.74,38.47,40.25,39.57,1063.268,1561.646,2076.311,11.57,-0.355,6.5,57.03333,1803.467,7.186666,2.2,4.686666,37.35,1221.517,8.978333,5.4,5.42,65.93333,2408.783,0.1,0.002,0.002,2.233882,3.081431,2.952,0.04582593,0.04974937,0,0.6574361,21.5534,0.04988875,0,0.03858611,0.6538349,22.25271,0.07548023,0,0.03999996,1.289272,47.95313
"2021-12-17 13:00:00",1367,12.84,38.48,40.25,39.56,1065.526,1560.779,2075.207,11.58667,-0.3483333,6.506667,56.91667,1795.2,7.171667,2.2,4.673333,37.31667,1219.517,8.973332,5.398333,5.416667,65.53333,2393.367,0.097,0,0,2.027637,2.530994,3.589,0.04988881,0.04997221,0.02494436,0.7808471,27.60302,0.05505045,0,0.04422162,0.5624846,18.49278,0.07272503,0.0128019,0.03726776,1.309792,50.52721
"2021-12-17 14:00:00",1368,13.03,38.5,40.24,39.56,1067.325,1560.786,2076.321,11.595,-0.345,6.505,57.13334,1799.733,7.135,2.2,4.646667,37.41667,1220.767,8.969999,5.4,5.416667,66,2409.95,0.07,0.001,0.001,2.313124,2.811655,2.984,0.03840574,0.04974937,0.02179447,0.644636,22.76611,0.06788464,0,0.04988872,0.5857095,19.65143,0.07371143,0,0.03726776,1.238278,45.19381
"2021-12-17 15:00:00",1369,12.97,38.51,40.25,39.57,1069.522,1561.209,2076.257,11.60333,-0.3466667,6.516666,57,1793.283,7.158333,2.2,4.664999,37.21667,1215.267,8.968333,5.395,5.415,65.56667,2393.933,0.074,0.003,0.003,2.221636,2.499795,3.453,0.05467066,0.04988876,0.03726776,0.6324555,25.07528,0.06135048,0,0.04769691,0.6853628,22.07326,0.07186048,0.02179447,0.0357071,1.269733,48.87156
"2021-12-17 16:00:00",1370,12.87,38.5,40.26,39.57,1072.751,1561.553,2074.654,11.635,-0.3283333,6.536666,57.13334,1788.783,7.143333,2.2,4.653333,37.26667,1216.117,8.983333,5.4,5.42,65.41666,2391.017,0.089,0.003,0.003,2.233066,2.418427,2.84,0.05107159,0.04506168,0.0481894,0.5617433,21.10694,0.06674989,0,0.04988872,0.703957,22.86416,0.07340933,0,0.03999996,1.173196,41.76262
